Number,Gender,NameSet,GivenName,MiddleInitial,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,CCNumber,CCExpires,CVV2,NationalID
47,male,French,Claude,J,"98 place Maurice-Charretier",CHAMPIGNY-SUR-MARNE,Île-de-France,94500,France,ClaudeLachapelle@armyspy.com,01.09.54.60.37,5558733910711978,4/2026,673,"1480717175396 44"
48,male,French,Gauthier,F,"76 rue Pierre Motte",SAINT-DENIS,Île-de-France,97400,France,GauthierGarreau@cuvox.de,01.25.94.25.90,5311196938257655,9/2026,237,"1510937415238 10"
49,female,French,Iva,T,"16 rue Gontier-Patin",AIX-EN-PROVENCE,"Provence-Alpes-Côte d'Azur",13090,France,IvaBeland@armyspy.com,04.89.59.38.67,4485706124758689,2/2027,725,"2480416984967 61"
50,female,French,Parnella,D,"97 rue Banaudon",LYON,Rhône-Alpes,69007,France,ParnellaSanschagrin@armyspy.com,04.28.49.18.88,5579823085844426,10/2025,851,"2551091972764 01"
51,female,French,Eugenia,A,"75 Chemin Des Bateliers",ANGERS,"Pays de la Loire",49100,France,EugeniaNoel@rhyta.com,02.84.63.18.02,4556138234222410,9/2025,510,"2870143380695 51"
52,male,French,Audric,A,"98 avenue Ferdinand de Lesseps",GRADIGNAN,Aquitaine,33170,France,AudricGougeon@jourrapide.com,05.66.63.55.52,5138003620850386,1/2027,510,"1630612479754 38"
53,female,French,Lundy,B,"39 Rue de Strasbourg",CLERMONT-FERRAND,Auvergne,63100,France,LundyChaussee@armyspy.com,04.53.00.81.96,5226839218714218,6/2026,350,"2540554092043 57"
54,female,French,Delit,J,"68 boulevard Aristide Briand","LE CANNET","Provence-Alpes-Côte d'Azur",06110,France,DelitTachel@armyspy.com,04.62.54.21.32,5112280635903232,6/2025,139,"2790257289568 28"
55,female,French,Agathe,R,"47 Rue de Strasbourg",CLERMONT-FERRAND,Auvergne,63100,France,AgatheChasse@armyspy.com,04.03.93.36.50,5101383403510164,11/2023,929,"2511146773391 11"
56,female,French,Albracca,O,"44 avenue Jean Portalis",TOURS,Centre,37200,France,AlbraccaRouthier@armyspy.com,02.84.95.75.63,4916774931126721,11/2026,285,"2861254244188 07"
57,female,French,Geneviève,F,"17 Faubourg Saint Honoré",PARIS,Île-de-France,75018,France,GenevieveRuais@armyspy.com,01.41.47.60.12,5106487007346753,6/2025,836,"2000347741901 89"
58,female,French,Catherine,G,"97 rue du Général Ailleret","LE TAMPON",Guyane,97430,France,CatherineCinqMars@teleworm.us,02.77.60.59.62,4716914592701956,12/2025,230,"2711289297763 57"
59,male,French,Luc,A,"44 rue Saint Germain",GAP,"Provence-Alpes-Côte d'Azur",05000,France,LucLangelier@gustr.com,04.07.95.71.53,4716758139240386,2/2025,553,"1600788500927 62"
60,male,French,Alexis,L,"56 place Maurice-Charretier",CHAMPS-SUR-MARNE,Île-de-France,77420,France,AlexisLaux@armyspy.com,01.54.89.49.93,4916472290918370,10/2026,420,"1770953559838 77"
61,female,French,Paulette,G,"91 rue des six frères Ruellan",SARREGUEMINES,Lorraine,57200,France,PauletteAlexandre@armyspy.com,03.16.80.00.19,4929122487977938,12/2027,692,"2430522842353 87"
62,female,French,Vedette,I,"11 rue du Clair Bocage","LA TESTE-DE-BUCH",Aquitaine,33260,France,VedetteDespins@dayrep.com,05.73.25.84.32,5448065042471666,9/2023,202,"2930563344252 28"
63,male,French,Kerman,O,"91 Place Charles de Gaulle",VILLENEUVE-D'ASCQ,Nord-Pas-de-Calais,59650,France,KermanBellefeuille@armyspy.com,03.59.73.53.58,5289514859970007,5/2023,219,"1400603006298 49"
64,female,French,Julie,S,"34 rue Cazade",DRANCY,Île-de-France,93700,France,JulieTachel@cuvox.de,01.78.39.07.48,5443673599772561,1/2026,784,"2030146926676 44"
65,female,French,Frédérique,J,"29 rue Sadi Carnot",AURILLAC,Auvergne,15000,France,FrederiqueGamelin@cuvox.de,04.94.11.89.07,5465925219598245,8/2024,853,"2710859437344 29"
66,male,French,Manville,É,"88 rue de Geneve",AMIENS,Picardie,80090,France,ManvilleBourassa@fleckens.hu,03.19.17.12.42,4485531340674977,11/2024,283,"1000718553140 15"
67,female,French,Claire,H,"8 place Maurice-Charretier",CHARLEVILLE-MÉZIÈRES,Champagne-Ardenne,08000,France,ClaireLaisne@cuvox.de,03.15.10.23.31,5595750766786974,5/2023,006,"2580249121145 43"
68,male,French,Algernon,L,"41 rue Marguerite",VILLIERS-LE-BEL,Île-de-France,95400,France,AlgernonLussier@einrot.com,01.08.75.21.20,4929855848952997,3/2027,703,"1590423806047 17"
69,female,French,Eglantine,D,"88 rue Lenotre",RENNES,Bretagne,35200,France,EglantineDufresne@gustr.com,02.15.17.15.86,5483171079698753,7/2024,738,"2640344186741 70"
70,male,French,Mallory,R,"81 rue Marguerite",VILLIERS-SUR-MARNE,Île-de-France,94350,France,MalloryTrudeau@cuvox.de,01.45.68.09.31,4716478736924064,1/2026,031,"1660241587252 89"
71,female,French,Clémence,V,"1 boulevard Amiral Courbet",ORLÉANS,Centre,45100,France,ClemenceBerard@cuvox.de,02.59.24.20.18,4532821820832440,7/2024,679,"2900608261520 18"
72,female,French,Madeleine,G,"47 rue Jean Vilar",BEAUVAIS,Picardie,60000,France,MadeleineDuplessis@rhyta.com,03.19.84.78.22,4716565642004039,7/2026,356,"2510298637312 03"
73,female,French,Galatee,N,"97 avenue Jean Portalis",TREMBLAY-EN-FRANCE,Île-de-France,93290,France,GalateeDeniger@jourrapide.com,01.66.24.63.82,4485481023165366,11/2027,633,"2680166817719 31"
74,male,French,Lothair,C,"1 Chemin des Bateliers",ALENÇON,Basse-Normandie,61000,France,LothairArtois@rhyta.com,02.19.21.26.50,5120538406932320,10/2026,407,"1770188495430 71"
75,male,French,Jérôme,D,"23 place Maurice-Charretier",CHAMPIGNY-SUR-MARNE,Île-de-France,94500,France,JeromeLavallee@fleckens.hu,01.12.66.27.60,4539550048356949,3/2025,916,"1630574875306 11"
76,female,French,Eglantine,C,"80 quai Saint-Nicolas",TOURCOING,Nord-Pas-de-Calais,59200,France,EglantineLemieux@teleworm.us,03.58.00.23.79,4916732116904072,10/2024,650,"2901101373826 16"
77,male,French,Guerin,M,"11 rue Michel Ange","LE HAVRE",Haute-Normandie,76610,France,GuerinPerrault@jourrapide.com,02.86.65.94.33,4539919967989578,8/2027,234,"1760754822379 08"
78,male,French,Burrell,Z,"99 route de Lyon",JOUÉ-LÈS-TOURS,Centre,37300,France,BurrellFortin@jourrapide.com,02.72.64.77.50,4556511018963195,1/2027,780,"1001142410650 10"
79,female,French,Ruby,A,"11 Avenue des Tuileries",HAZEBROUCK,Nord-Pas-de-Calais,59190,France,RubyPoissonnier@einrot.com,03.76.22.42.30,4716772125387390,1/2026,794,"2450143482547 70"
80,female,French,Cécile,D,"3 Rue de Strasbourg",CLERMONT-FERRAND,Auvergne,63000,France,CecilePouliotte@superrito.com,04.17.72.05.58,4916702006384602,9/2024,204,"2801279161094 76"
81,male,French,Arno,C,"77 Rue St Ferréol",MEUDON-LA-FORÊT,Île-de-France,92360,France,ArnoCyr@gustr.com,01.10.67.45.11,5216585458448338,3/2025,187,"1670894798117 76"
82,female,French,Magnolia,L,"22 Square de la Couronne",PALAISEAU,Île-de-France,91120,France,MagnoliaVadeboncoeur@rhyta.com,01.05.60.02.13,5431976688993558,6/2024,506,"2450179230350 65"
83,female,French,Comforte,J,"91 Avenue De Marlioz",ANTIBES,"Provence-Alpes-Côte d'Azur",06600,France,ComforteDuffet@gustr.com,04.53.83.52.26,5381914166396267,10/2024,732,"2841213215083 53"
84,female,French,Véronique,A,"24 place Stanislas",NANTES,"Pays de la Loire",44000,France,VeroniqueBler@gustr.com,02.55.55.55.21,4532266501491837,3/2023,549,"2810913230215 55"
85,male,French,Jérôme,F,"54 Cours Marechal-Joffre",DIEPPE,Haute-Normandie,76200,France,JeromeCovillon@superrito.com,02.29.01.05.90,4716032141066274,11/2027,628,"1790845901984 55"
86,female,French,Fusberta,C,"42 rue de Raymond Poincaré",NEUILLY-SUR-MARNE,Île-de-France,93330,France,FusbertaDuclos@armyspy.com,01.06.70.83.93,5535285401716709,11/2024,087,"2940952650176 63"
87,male,French,Grégoire,J,"73 rue Beauvau",MARSEILLE,"Provence-Alpes-Côte d'Azur",13003,France,GregoireDupere@teleworm.us,04.46.96.29.83,5109160169801793,7/2025,274,"1460220834266 32"
88,male,French,Roslyn,L,"88 rue Isambard",FRANCONVILLE-LA-GARENNE,Île-de-France,95130,France,RoslynBourget@fleckens.hu,01.53.03.27.86,5486674111509687,10/2024,519,"1621172817094 28"
89,male,French,Étienne,B,"13 Rue de Verdun",MONTCEAU-LES-MINES,Bourgogne,71300,France,EtienneDeschenes@superrito.com,03.73.58.22.94,5555581632652464,6/2024,676,"1561106766876 39"
90,female,French,Marie,T,"79 quai Saint-Nicolas",TOURCOING,Nord-Pas-de-Calais,59200,France,MarieBousquet@jourrapide.com,03.36.81.22.76,5274698929492089,7/2025,609,"2420828734020 06"
91,male,French,Donatien,O,"91 rue Lenotre",REIMS,Champagne-Ardenne,51100,France,DonatienLamoureux@einrot.com,03.94.65.29.58,5549240843041251,11/2025,157,"1900215437832 43"
92,male,French,Claude,C,"10 Rue du Limas",BAYONNE,Aquitaine,64100,France,ClaudeAdler@superrito.com,05.21.94.93.04,4532937732225570,11/2025,194,"1990751873212 24"
93,male,French,Joseph,C,"54 rue Banaudon",LYON,Rhône-Alpes,69006,France,JosephDuranseau@einrot.com,04.91.36.46.23,4539240434370213,10/2025,751,"1921071287531 64"
94,female,French,Calandre,T,"89 rue du Gue Jacquet",CHÂTILLON,Île-de-France,92320,France,CalandreDumoulin@armyspy.com,01.20.57.16.46,5455950189700367,5/2027,661,"2520198141975 90"
95,female,French,Bernadette,F,"18 Avenue des Pr'es",MONTPELLIER,Languedoc-Roussillon,34000,France,BernadetteBler@jourrapide.com,04.88.78.01.57,5225373268749230,2/2023,602,"2940969990184 66"
96,female,French,Cendrillon,C,"87 rue Léon Dierx",LISIEUX,Basse-Normandie,14100,France,CendrillonMeilleur@dayrep.com,02.01.78.40.45,4929833285350462,12/2024,117,"2861212083092 53"
97,male,French,Mason,V,"83 rue Sadi Carnot",AURILLAC,Auvergne,15000,France,MasonMichaud@superrito.com,04.42.97.41.40,5458294854400723,4/2025,225,"1690514598658 80"
98,female,French,Ambra,T,"35 rue Goya","LE MANS","Pays de la Loire",72000,France,AmbraParrot@gustr.com,02.92.36.42.62,5174944140712538,2/2027,060,"2981019184743 25"
99,male,French,Mandel,M,"37 rue du Clair Bocage","LA VALETTE-DU-VAR","Provence-Alpes-Côte d'Azur",83160,France,MandelLeroy@dayrep.com,04.75.76.27.92,4916305914625023,8/2025,348,"1900532776706 64"
100,male,French,Aubert,E,"74 Boulevard de Normandie",FORT-DE-FRANCE,Martinique,97200,France,AubertNeufville@cuvox.de,05.94.04.20.87,4532354216620336,1/2023,865,"1370541472460 47"
101,male,French,Henry,L,"29 rue de la Hulotais",SAINT-QUENTIN,Picardie,02100,France,HenryPariseau@armyspy.com,03.88.01.56.11,5229702869540604,9/2025,051,"1391009541914 18"
102,male,French,Amaury,A,"17 Avenue De Marlioz",ARLES,"Provence-Alpes-Côte d'Azur",13200,France,AmaurySauriol@fleckens.hu,01.10.95.50.28,4916899935156257,5/2025,785,"1790781217853 27"
103,female,French,Alacoque,W,"87 Rue Marie De Médicis",CANNES,"Provence-Alpes-Côte d'Azur",06400,France,AlacoqueFaure@jourrapide.com,04.35.61.29.08,4539735895206160,4/2024,553,"2380930654636 08"
104,female,French,Brice,F,"74 rue Jean-Monnet",GONESSE,Île-de-France,95500,France,BriceBoulanger@armyspy.com,01.37.40.56.89,5202757056653413,2/2023,333,"2390508826089 47"
105,female,French,Clothilde,M,"44 rue Marguerite",VILLIERS-SUR-MARNE,Île-de-France,94350,France,ClothildePomerleau@fleckens.hu,01.98.02.31.55,4929456633522598,4/2025,626,"2620615194167 72"
106,female,French,Raison,R,"81 avenue Ferdinand de Lesseps",GRENOBLE,Rhône-Alpes,38100,France,RaisonDesaulniers@teleworm.us,04.28.42.43.58,5454531963210244,1/2023,528,"2930946160207 05"
107,female,French,Fusberta,R,"11 Chemin Des Bateliers",ANGERS,"Pays de la Loire",49100,France,FusbertaRousseau@teleworm.us,02.42.61.48.71,5326305264756973,4/2027,653,"2640665386244 62"
108,female,French,Prunella,S,"44 Rue de Strasbourg",CLERMONT-FERRAND,Auvergne,63000,France,PrunellaJalbert@cuvox.de,04.46.94.35.64,5336842694697250,4/2025,826,"2870990281354 87"
109,male,French,Bellamy,D,"70 rue de Penthièvre",PONTOISE,Île-de-France,95300,France,BellamyCloutier@armyspy.com,03.33.84.52.96,5367576828204706,10/2026,661,"1410498363784 78"
110,male,French,Avent,A,"37 avenue Jules Ferry",STAINS,Île-de-France,93240,France,AventCouet@gustr.com,01.30.00.90.49,4532664210520690,8/2023,781,"1581009431676 06"
111,female,French,Demi,H,"72 boulevard Amiral Courbet",ORLY,Île-de-France,94310,France,DemiRobillard@armyspy.com,01.44.58.61.01,5300071242087804,5/2027,203,"2900244525943 48"
112,female,French,Melodie,S,"76 rue Léon Dierx",LOMME,Nord-Pas-de-Calais,59160,France,MelodieTurgeon@superrito.com,03.96.91.40.29,5401562034951361,10/2027,908,"2610634624595 54"
113,female,French,Ermengardi,A,"27 rue Porte d'Orange",CAVAILLON,"Provence-Alpes-Côte d'Azur",84300,France,ErmengardiCasgrain@jourrapide.com,04.30.34.72.30,5241993413706486,5/2023,198,"2490418480539 83"
114,female,French,Amedee,V,"56 rue de l'Aigle","LA MADELEINE",Nord-Pas-de-Calais,59110,France,AmedeeGiroux@dayrep.com,03.67.76.53.55,5263119194701644,11/2023,128,"2470563700328 62"
115,female,French,Victorine,M,"88 Cours Marechal-Joffre",DAX,Aquitaine,40100,France,VictorineCaron@superrito.com,05.57.94.59.36,4539764842272646,4/2025,493,"2460750186044 96"
116,male,French,Stéphane,S,"27 Rue du Palais",ÉTAMPES,Île-de-France,91150,France,StephaneLepicier@einrot.com,01.70.99.98.75,5365958020530124,2/2023,664,"1900738049872 44"
117,male,French,Benjamin,A,"8 Faubourg Saint Honoré",PARIS,Île-de-France,75019,France,BenjaminLeBatelier@dayrep.com,01.75.78.62.60,4556360007173162,7/2025,319,"1430784437245 83"
118,female,French,Villette,L,"43 Place Napoléon",LANESTER,Bretagne,56600,France,VilletteDesnoyers@einrot.com,02.15.64.29.79,5339694255131816,5/2023,104,"2871278815442 65"
119,female,French,Orlene,C,"29 cours Franklin Roosevelt",MARSEILLE,"Provence-Alpes-Côte d'Azur",13006,France,OrlenePlaisance@fleckens.hu,04.54.79.13.42,5390619563971450,10/2024,737,"2030354295290 67"
120,female,French,Françoise,O,"49 avenue de Provence",VALLAURIS,"Provence-Alpes-Côte d'Azur",06220,France,FrancoiseLachapelle@cuvox.de,04.33.28.39.43,5554176213694042,6/2027,645,"2571074179864 93"
121,female,French,Anastasie,M,"26 boulevard Albin Durand",CERGY,Île-de-France,95000,France,AnastasieBienvenue@armyspy.com,01.19.56.40.46,4532148502944578,5/2025,509,"2990308359297 13"
122,female,French,Albertine,G,"76 Chemin Des Bateliers",ANGLET,Aquitaine,64600,France,AlbertineLatourelle@dayrep.com,05.02.31.50.71,4532606671270810,12/2027,399,"2390402324759 33"
123,male,French,Vick,J,"29 Rue Hubert de Lisle",LORMONT,Aquitaine,33310,France,VickBourque@rhyta.com,05.66.56.48.77,5199574341888158,11/2023,539,"1501141552623 47"
124,male,French,Zdenek,A,"85 Rue du Palais",ERMONT,Île-de-France,95120,France,ZdenekVeronneau@superrito.com,01.88.30.56.56,5361901512354797,3/2024,586,"1700153014940 50"
125,female,French,Gallia,D,"91 rue Goya","LE MOULE",Guadeloupe,97160,France,GalliaAubin@dayrep.com,05.52.75.51.64,4532631524812261,11/2027,370,"2751084039788 16"
126,male,French,Fitz,A,"13 rue du Château",SAINT-HERBLAIN,"Pays de la Loire",44800,France,FitzChnadonnet@superrito.com,02.62.73.85.31,5212314057316729,6/2027,995,"1600515289406 25"
127,female,French,"La Roux",I,"81 avenue Ferdinand de Lesseps",GRENOBLE,Rhône-Alpes,38100,France,LaRouxGregoire@jourrapide.com,04.82.76.42.59,5102273825683732,5/2024,398,"2520851940894 86"
128,female,French,Patrice,C,"40 rue des Nations Unies",SAINT-DENIS,Île-de-France,93200,France,PatriceGarcia@rhyta.com,01.81.53.76.95,4539140733058255,9/2024,252,"2911187208716 86"
129,female,French,Brunella,O,"9 rue de la Hulotais",SAINT-QUENTIN,Picardie,02100,France,BrunellaDupere@rhyta.com,03.38.72.58.15,5183978169450603,10/2026,530,"2000984227356 19"
130,female,French,Bradamate,M,"54 rue Sébastopol",SAINTE-MARIE,Martinique,97230,France,BradamateBrisebois@jourrapide.com,05.63.22.92.89,4485400593744343,7/2027,738,"2571068717020 91"
131,male,French,Sacripant,A,"42 avenue Jules Ferry",SIX-FOURS-LES-PLAGES,"Provence-Alpes-Côte d'Azur",83140,France,SacripantChevrette@teleworm.us,04.77.56.74.31,5167854147638561,12/2023,188,"1810887783827 95"
132,female,French,Agathe,A,"14 rue de la Hulotais",SAINT-QUENTIN,Picardie,02100,France,AgatheRouze@dayrep.com,03.08.40.95.94,4716944768666469,6/2024,121,"2011215717973 47"
133,female,French,Amber,L,"59 rue des lieutemants Thomazo",DOLE,Franche-Comté,39100,France,AmberCrete@gustr.com,03.76.67.06.20,4485927165944364,1/2027,186,"2851265122535 65"
134,female,French,Nicolette,C,"71 rue des Nations Unies",SAINT-CHAMOND,Rhône-Alpes,42400,France,NicoletteMargand@gustr.com,04.26.81.78.73,4916446319555397,7/2026,983,"2530243987797 08"
135,male,French,Christian,F,"35 rue Pierre Motte",SAINTE-FOY-LÈS-LYON,Rhône-Alpes,69110,France,ChristianDeblois@superrito.com,04.29.68.61.96,4539896743326335,1/2023,678,"1450958511611 73"
136,female,French,Adrienne,A,"87 rue de l'Aigle","LA MADELEINE",Nord-Pas-de-Calais,59110,France,AdrienneMoreau@superrito.com,03.29.40.47.42,5571630710015225,8/2025,176,"2860897619639 79"
137,female,French,Yolette,A,"39 rue Jean-Monnet",GOUSSAINVILLE,Île-de-France,95190,France,YoletteBoisclair@armyspy.com,01.90.86.50.22,5454604061332689,7/2023,732,"2010852473811 64"
